layer,key,status,cosine,rel_rmse,raw_hash_equal,a_shape,b_shape,note
0,model.layers.0.self_attn.k_proj.weight,ok,-0.00028401534949173355,1.2266804428649996,False,"(1024, 4096)","(1024, 4096)",
0,model.layers.0.self_attn.v_proj.weight,ok,0.0007979089894115419,1.5201380664081838,False,"(1024, 4096)","(1024, 4096)",
0,model.layers.0.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
0,model.layers.0.input_layernorm.weight,ok,0.12724736119535385,1.129272615889417,False,"(4096,)","(4096,)",
0,model.layers.0.post_attention_layernorm.weight,ok,0.8538605139747061,0.663863659348885,False,"(4096,)","(4096,)",
0,model.layers.0.mlp.gate.weight,missing_in_GLM-4.5-Air,nan,nan,,None,None,
1,model.layers.1.self_attn.k_proj.weight,ok,-0.00047471186526364925,1.1934070346953782,False,"(1024, 4096)","(1024, 4096)",
1,model.layers.1.self_attn.v_proj.weight,ok,-0.0009896464645718268,1.4928757360134977,False,"(1024, 4096)","(1024, 4096)",
1,model.layers.1.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
1,model.layers.1.input_layernorm.weight,ok,0.34181209552832653,1.134666765625833,False,"(4096,)","(4096,)",
1,model.layers.1.post_attention_layernorm.weight,ok,0.8986689460397956,1.5099511923335576,False,"(4096,)","(4096,)",
1,model.layers.1.mlp.gate.weight,ok,-0.0006035676552309104,1.2233333236614135,False,"(128, 4096)","(128, 4096)",
2,model.layers.2.self_attn.k_proj.weight,ok,-0.0007610926221017708,1.2706230552838358,False,"(1024, 4096)","(1024, 4096)",
2,model.layers.2.self_attn.v_proj.weight,ok,-0.0004288520713460843,1.2283431378918983,False,"(1024, 4096)","(1024, 4096)",
2,model.layers.2.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
2,model.layers.2.input_layernorm.weight,ok,0.8316813652957852,1.0950493504885532,False,"(4096,)","(4096,)",
2,model.layers.2.post_attention_layernorm.weight,ok,0.9452874641220799,1.5021105377044643,False,"(4096,)","(4096,)",
2,model.layers.2.mlp.gate.weight,ok,0.0025047196060023302,1.1973928117542558,False,"(128, 4096)","(128, 4096)",
3,model.layers.3.self_attn.k_proj.weight,ok,-0.001860582511157401,1.2556982525502967,False,"(1024, 4096)","(1024, 4096)",
3,model.layers.3.self_attn.v_proj.weight,ok,-0.0008437157468361108,1.21921156856639,False,"(1024, 4096)","(1024, 4096)",
3,model.layers.3.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
3,model.layers.3.input_layernorm.weight,ok,0.9132002592424942,2.963225643723824,False,"(4096,)","(4096,)",
3,model.layers.3.post_attention_layernorm.weight,ok,0.9650786778578722,1.3893392761510395,False,"(4096,)","(4096,)",
3,model.layers.3.mlp.gate.weight,ok,0.001317977047699331,1.1859786093336895,False,"(128, 4096)","(128, 4096)",
4,model.layers.4.self_attn.k_proj.weight,ok,-0.0017081432354856816,1.453865493923991,False,"(1024, 4096)","(1024, 4096)",
4,model.layers.4.self_attn.v_proj.weight,ok,-0.0006843389584493985,1.3353413016249445,False,"(1024, 4096)","(1024, 4096)",
4,model.layers.4.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
4,model.layers.4.input_layernorm.weight,ok,0.9373838295259651,1.3293386561324643,False,"(4096,)","(4096,)",
4,model.layers.4.post_attention_layernorm.weight,ok,0.9720069831325121,1.340854491407585,False,"(4096,)","(4096,)",
4,model.layers.4.mlp.gate.weight,ok,0.0006374969063820141,1.170863450790232,False,"(128, 4096)","(128, 4096)",
5,model.layers.5.self_attn.k_proj.weight,ok,-0.0011293332398398354,1.1499984323703218,False,"(1024, 4096)","(1024, 4096)",
5,model.layers.5.self_attn.v_proj.weight,ok,0.0014139173816195623,1.1899518108894058,False,"(1024, 4096)","(1024, 4096)",
5,model.layers.5.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
5,model.layers.5.input_layernorm.weight,ok,0.9516324466988515,1.6903405398375935,False,"(4096,)","(4096,)",
5,model.layers.5.post_attention_layernorm.weight,ok,0.9786423898749048,1.4048236126184055,False,"(4096,)","(4096,)",
5,model.layers.5.mlp.gate.weight,ok,-0.0006412291136593307,1.1642641078595342,False,"(128, 4096)","(128, 4096)",
6,model.layers.6.self_attn.k_proj.weight,ok,0.0008554465094116363,1.273324969721461,False,"(1024, 4096)","(1024, 4096)",
6,model.layers.6.self_attn.v_proj.weight,ok,0.0007404688875611469,1.2996770201432135,False,"(1024, 4096)","(1024, 4096)",
6,model.layers.6.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
6,model.layers.6.input_layernorm.weight,ok,0.9385947357191673,1.5963921118334106,False,"(4096,)","(4096,)",
6,model.layers.6.post_attention_layernorm.weight,ok,0.9825738703958217,1.4100321634514434,False,"(4096,)","(4096,)",
6,model.layers.6.mlp.gate.weight,ok,0.0015651119599845108,1.1412426148220756,False,"(128, 4096)","(128, 4096)",
7,model.layers.7.self_attn.k_proj.weight,ok,0.0012162871017729721,1.1960524463015936,False,"(1024, 4096)","(1024, 4096)",
7,model.layers.7.self_attn.v_proj.weight,ok,0.00017226190436708466,1.2372508483023468,False,"(1024, 4096)","(1024, 4096)",
7,model.layers.7.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
7,model.layers.7.input_layernorm.weight,ok,0.964488396783273,1.9604566866284336,False,"(4096,)","(4096,)",
7,model.layers.7.post_attention_layernorm.weight,ok,0.9840549063895685,1.581295987992954,False,"(4096,)","(4096,)",
7,model.layers.7.mlp.gate.weight,ok,0.003027841780958316,1.1411628700672913,False,"(128, 4096)","(128, 4096)",
8,model.layers.8.self_attn.k_proj.weight,ok,-0.0024021419551744335,1.132495024564657,False,"(1024, 4096)","(1024, 4096)",
8,model.layers.8.self_attn.v_proj.weight,ok,-0.00023269879872211632,1.2506583171390337,False,"(1024, 4096)","(1024, 4096)",
8,model.layers.8.self_attn.q_proj.weight,shape_mismatch,nan,nan,,"(8192, 4096)","(12288, 4096)",
